"","Znamka","Leto","St.prodanih","Delez.na.trgu(%)"
"395","Volvo",2004,258988,1.6
"396","Alfa Romeo",2005,130922,0.81
"397","Aston Martin",2005,2701,0.02
"398","Audi",2005,625024,3.87
"399","BMW",2005,660319,4.09
"400","Citroen",2005,951563,5.89
"401","Dacia",2005,28420,0.18
"402","Ferrari",2005,2803,0.02
"403","Fiat",2005,792734,4.91
"404","Ford",2005,1320222,8.18
"405","Honda",2005,274312,1.7
"406","Hyundai",2005,384427,2.38
"407","Jaguar",2005,46751,0.29
"408","Jeep",2005,34581,0.21
"409","Kia",2005,264657,1.64
"410","Lancia",2005,118773,0.74
"411","Lexus",2005,23340,0.14
"412","Mazda",2005,239655,1.48
"413","Mercedes Benz",2005,708374,4.38
"414","Mini",2005,129615,0.8
"415","Nissan",2005,387325,2.39
"416","Opel",2005,1423665,8.82
"417","Peugeot",2005,1168066,7.23
"418","Porsche",2005,44977,0.28
"419","Renault",2005,1577920,9.77
"420","Land Rover",2005,91612,0.57
"421","Seat",2005,386645,2.39
"422","Skoda",2005,441155,2.73
"423","Subaru",2005,54324,0.34
"424","Suzuki",2005,244617,1.51
"425","Toyota",2005,905805,5.24
"426","Volkswagen",2005,1604470,9.94
"427","Volvo",2005,257607,1.6
"428","Alfa Romeo",2006,145171,0.93
"429","Aston Martin",2006,3809,0.02
"430","Audi",2006,639911,4.11
"431","BMW",2006,680074,4.37
"432","Citroen",2006,912858,5.86
"433","Dacia",2006,40939,0.26
"434","Ferrari",2006,2782,0.02
"435","Fiat",2006,895023,5.75
"436","Ford",2006,1272878,8.18
"437","Honda",2006,279179,1.79
"438","Hyundai",2006,316865,2.04
"439","Jaguar",2006,41515,0.27
"440","Jeep",2006,39206,0.25
"441","Kia",2006,239488,1.54
"442","Lancia",2006,116554,0.75
"443","Lexus",2006,40337,0.26
"444","Mazda",2006,255958,1.64
"445","Mercedes Benz",2006,725781,4.66
"446","Mini",2006,114302,0.73
"447","Nissan",2006,332150,2.13
"448","Opel",2006,1322316,8.49
"449","Peugeot",2006,1108142,7.12
"450","Porsche",2006,44623,0.29
"451","Renault",2006,1286563,8.26
"452","Land Rover",2006,87796,0.56
"453","Seat",2006,384968,2.47
"454","Skoda",2006,444506,2.85
"455","Subaru",2006,55153,0.35
"456","Suzuki",2006,261455,1.68
"457","Toyota",2006,960499,5.61
"458","Volkswagen",2006,1671551,10.74
"459","Volvo",2006,244082,1.57
"460","Alfa Romeo",2007,144404,0.92
"461","Aston Martin",2007,3963,0.03
"462","Audi",2007,660632,4.21
"463","BMW",2007,704581,4.49
"464","Citroen",2007,937587,5.97
"465","Dacia",2007,76279,0.49
"466","Ferrari",2007,2924,0.02
"467","Fiat",2007,964767,6.15
"468","Ford",2007,1287820,8.2
"469","Honda",2007,311801,1.99
"470","Hyundai",2007,292274,1.86
"471","Jaguar",2007,33267,0.21
"472","Jeep",2007,45539,0.29
"473","Kia",2007,250831,1.6
"474","Lancia",2007,121994,0.78
"475","Lexus",2007,40496,0.26
"476","Mazda",2007,240014,1.53
"477","Mercedes Benz",2007,728474,4.64
"478","Mini",2007,144978,0.92
"479","Nissan",2007,313437,2
"480","Opel",2007,1323698,8.43
"481","Peugeot",2007,1091534,6.95
"482","Porsche",2007,45707,0.29
"483","Renault",2007,1180115,7.52
"484","Land Rover",2007,102599,0.65
"485","Seat",2007,382178,2.43
"486","Skoda",2007,462099,2.94
"487","Subaru",2007,46820,0.3
"488","Suzuki",2007,285571,1.82
"489","Toyota",2007,993745,5.7
"490","Volkswagen",2007,1610684,10.26
"491","Volvo",2007,266045,1.69
"492","Alfa Romeo",2008,102183,0.71
"493","Aston Martin",2008,3301,0.02
"494","Audi",2008,661801,4.57
"495","BMW",2008,676467,4.68
"496","Citroen",2008,853141,5.9
"497","Dacia",2008,106760,0.74
"498","Ferrari",2008,2988,0.02
"499","Fiat",2008,943202,6.52
"500","Ford",2008,1216364,8.41
"501","Honda",2008,264009,1.83
"502","Hyundai",2008,257686,1.78
"503","Jaguar",2008,36963,0.26
"504","Jeep",2008,32597,0.23
"505","Kia",2008,226507,1.57
"506","Lancia",2008,114035,0.79
"507","Lexus",2008,29682,0.21
"508","Mazda",2008,242144,1.67
"509","Mercedes Benz",2008,683473,4.72
"510","Mini",2008,143773,0.99
"511","Nissan",2008,338169,2.33
"512","Opel",2008,1135535,7.85
"513","Peugeot",2008,995255,6.88
"514","Porsche",2008,36063,0.25
"515","Renault",2008,1082950,7.49
"516","Land Rover",2008,72904,0.5
"517","Seat",2008,332350,2.3
"518","Skoda",2008,442393,3.06
"519","Subaru",2008,50904,0.35
"520","Suzuki",2008,247161,1.71
"521","Toyota",2008,830286,5.14
"522","Volkswagen",2008,1553488,10.74
"523","Volvo",2008,222905,1.54
