"","Drzava","Leto","Stevilo"
"739","Switzerland",2005,134906
"740","Turkey",2005,406807
"741","Belgium",2006,530941
"742","Bulgaria",2006,182095
"743","Czech Republic",2006,120370
"744","Denmark",2006,131605
"745","Germany (until 1990 former territory of the FRG)",2006,3467961
"746","Estonia",2006,25372
"747","Estonia",2006,518
"748","Estonia",2006,5198
"749","Estonia",2006,11164
"750","Estonia",2006,8492
"751","Spain",2006,1660627
"752","Spain",2006,117237
"753","Spain",2006,515740
"754","Spain",2006,715678
"755","Spain",2006,314657
"756","France",2006,2000549
"757","France",2006,258059
"758","France",2006,731692
"759","France",2006,663822
"760","France",2006,346976
"761","Croatia",2006,114680
"762","Cyprus",2006,37192
"763","Cyprus",2006,2826
"764","Cyprus",2006,11381
"765","Cyprus",2006,13612
"766","Cyprus",2006,9373
"767","Latvia",2006,97399
"768","Latvia",2006,2181
"769","Latvia",2006,24492
"770","Latvia",2006,35466
"771","Latvia",2006,35260
"772","Lithuania",2006,185271
"773","Lithuania",2006,11714
"774","Lithuania",2006,68070
"775","Lithuania",2006,65385
"776","Lithuania",2006,40102
"777","Luxembourg",2006,50837
"778","Luxembourg",2006,954
"779","Luxembourg",2006,9497
"780","Luxembourg",2006,16018
"781","Luxembourg",2006,24368
"782","Hungary",2006,151670
"783","Netherlands",2006,483999
"784","Austria",2006,308594
"785","Austria",2006,21559
"786","Austria",2006,91900
"787","Austria",2006,97101
"788","Austria",2006,97734
"789","Poland",2006,923783
"790","Poland",2006,112273
"791","Poland",2006,313980
"792","Poland",2006,279977
"793","Poland",2006,217553
"794","Romania",2006,312515
"795","Slovenia",2006,59885
"796","Finland",2006,146201
"797","Finland",2006,4776
"798","Finland",2006,26525
"799","Finland",2006,67984
"800","Finland",2006,46415
"801","Sweden",2006,300502
"802","Sweden",2006,5848
"803","Sweden",2006,41009
"804","Sweden",2006,94065
"805","Sweden",2006,159580
"806","Liechtenstein",2006,1890
"807","Liechtenstein",2006,70
