"TIME","GEO","UNIT","ENGINE","Value","Flag and Footnotes"
"1994","Slovenia","Number","125 cm³ or less","4,100",""
"1994","Slovenia","Number","Over 125 cm³","4,686",""
"1994","Slovakia","Number","Total","80,473",""
"1994","Slovakia","Number","125 cm³ or less",":",""
"1994","Slovakia","Number","Over 125 cm³",":",""
"1994","Finland","Number","Total","64,000","d"
"1994","Finland","Number","125 cm³ or less","25,000","d"
"1994","Finland","Number","Over 125 cm³","39,000","d"
"1994","Sweden","Number","Total","57,000",""
"1994","Sweden","Number","125 cm³ or less","7,000",""
"1994","Sweden","Number","Over 125 cm³","50,000",""
"1994","United Kingdom","Number","Total","635,000",""
"1994","United Kingdom","Number","125 cm³ or less","222,000",""
"1994","United Kingdom","Number","Over 125 cm³","413,000",""
"1994","Iceland","Number","Total","2,000",""
"1994","Iceland","Number","125 cm³ or less","1,000",""
"1994","Iceland","Number","Over 125 cm³","1,000",""
"1994","Liechtenstein","Number","Total",":",""
"1994","Liechtenstein","Number","125 cm³ or less",":",""
"1994","Liechtenstein","Number","Over 125 cm³",":",""
"1994","Norway","Number","Total","39,000",""
"1994","Norway","Number","125 cm³ or less","4,000","d"
"1994","Norway","Number","Over 125 cm³","35,000","d"
"1994","Switzerland","Number","Total","357,000",""
"1994","Switzerland","Number","125 cm³ or less","191,000",""
"1994","Switzerland","Number","Over 125 cm³","166,000",""
"1994","Former Yugoslav Republic of Macedonia, the","Number","Total","1,451",""
"1994","Former Yugoslav Republic of Macedonia, the","Number","125 cm³ or less",":",""
"1994","Former Yugoslav Republic of Macedonia, the","Number","Over 125 cm³",":",""
"1994","Turkey","Number","Total","788,786",""
"1994","Turkey","Number","125 cm³ or less",":",""
"1994","Turkey","Number","Over 125 cm³",":",""
"1995","Belgium","Number","Total","200,000","d"
"1995","Belgium","Number","125 cm³ or less",":",""
"1995","Belgium","Number","Over 125 cm³",":",""
"1995","Bulgaria","Number","Total","233,400",""
"1995","Bulgaria","Number","125 cm³ or less",":",""
"1995","Bulgaria","Number","Over 125 cm³",":",""
"1995","Czech Republic","Number","Total","404,000",""
"1995","Czech Republic","Number","125 cm³ or less","49,000",""
"1995","Czech Republic","Number","Over 125 cm³","355,000",""
"1995","Denmark","Number","Total","52,000",""
"1995","Denmark","Number","125 cm³ or less",":",""
"1995","Denmark","Number","Over 125 cm³",":",""
"1995","Germany (until 1990 former territory of the FRG)","Number","Total","2,267,000","d"
"1995","Germany (until 1990 former territory of the FRG)","Number","125 cm³ or less","313,000","d"
"1995","Germany (until 1990 former territory of the FRG)","Number","Over 125 cm³","1,955,000","d"
"1995","Estonia","Number","Total","3,300",""
"1995","Estonia","Number","125 cm³ or less",":",""
"1995","Estonia","Number","Over 125 cm³",":",""
"1995","Ireland","Number","Total","23,452",""
"1995","Ireland","Number","125 cm³ or less","6,500",""
"1995","Ireland","Number","Over 125 cm³","16,900",""
"1995","Greece","Number","Total","476,000",""
"1995","Greece","Number","125 cm³ or less","220,000",""
"1995","Greece","Number","Over 125 cm³","256,000",""
"1995","Spain","Number","Total","1,301,000","d"
"1995","Spain","Number","125 cm³ or less","536,000","d"
"1995","Spain","Number","Over 125 cm³","765,000","d"
"1995","France","Number","Total","893,000",""
"1995","France","Number","125 cm³ or less","268,000",""
"1995","France","Number","Over 125 cm³","461,000",""
"1995","Croatia","Number","Total","10,000",""
"1995","Croatia","Number","125 cm³ or less","4,000",""
"1995","Croatia","Number","Over 125 cm³","6,000",""
"1995","Italy","Number","Total","2,531,000",""
"1995","Italy","Number","125 cm³ or less",":",""
"1995","Italy","Number","Over 125 cm³",":",""
"1995","Cyprus","Number","Total","13,000",""
"1995","Cyprus","Number","125 cm³ or less",":",""
"1995","Cyprus","Number","Over 125 cm³",":",""
